lakeid,year,daynum,sampledate,item,value,layer,lastice
CB,2016,315,2016-11-10,drsif,2815.7999999999997,surf,2016-04-15
CB,2016,315,2016-11-10,nh4,20,surf,2016-04-15
CB,2016,315,2016-11-10,no3no2,6,surf,2016-04-15
CB,2016,315,2016-11-10,ph,5.09,surf,2016-04-15
CB,2016,315,2016-11-10,totnf,419,surf,2016-04-15
CB,2016,315,2016-11-10,totnuf,724,surf,2016-04-15
CB,2016,315,2016-11-10,totpf,7,surf,2016-04-15
CB,2016,315,2016-11-10,totpuf,32,surf,2016-04-15
CB,2017,108,2017-04-18,doc,9.715,surf,2017-04-09
CB,2017,108,2017-04-18,drsif,1153.6799999999998,surf,2017-04-09
CB,2017,108,2017-04-18,nh4,45,surf,2017-04-09
CB,2017,108,2017-04-18,no3no2,18,surf,2017-04-09
CB,2017,108,2017-04-18,ph,5.17,surf,2017-04-09
CB,2017,108,2017-04-18,totnf,444.5,surf,2017-04-09
CB,2017,108,2017-04-18,totnuf,554,surf,2017-04-09
CB,2017,108,2017-04-18,totpf,17.5,surf,2017-04-09
CB,2017,108,2017-04-18,totpuf,23,surf,2017-04-09
CB,2017,138,2017-05-18,doc,9.105,surf,2017-04-09
CB,2017,138,2017-05-18,drsif,361.38,surf,2017-04-09
CB,2017,138,2017-05-18,nh4,3,surf,2017-04-09
CB,2017,138,2017-05-18,no3no2,4,surf,2017-04-09
CB,2017,138,2017-05-18,ph,5.175,surf,2017-04-09
CB,2017,138,2017-05-18,totnf,298,surf,2017-04-09
CB,2017,138,2017-05-18,totnuf,436,surf,2017-04-09
CB,2017,138,2017-05-18,totpf,7,surf,2017-04-09
CB,2017,138,2017-05-18,totpuf,20,surf,2017-04-09
CB,2017,165,2017-06-14,doc,9.975000000000001,surf,2017-04-09
CB,2017,165,2017-06-14,drsif,70.67999999999999,surf,2017-04-09
CB,2017,165,2017-06-14,nh4,5.5,surf,2017-04-09
CB,2017,165,2017-06-14,no3no2,1.5,surf,2017-04-09
CB,2017,165,2017-06-14,ph,5.03,surf,2017-04-09
CB,2017,165,2017-06-14,totnf,300.5,surf,2017-04-09
CB,2017,165,2017-06-14,totnuf,468,surf,2017-04-09
CB,2017,165,2017-06-14,totpf,6.5,surf,2017-04-09
CB,2017,165,2017-06-14,totpuf,21,surf,2017-04-09
CB,2017,192,2017-07-11,doc,11.43,surf,2017-04-09
CB,2017,192,2017-07-11,drsif,95.75999999999999,surf,2017-04-09
CB,2017,192,2017-07-11,nh4,115,surf,2017-04-09
CB,2017,192,2017-07-11,no3no2,67,surf,2017-04-09
CB,2017,192,2017-07-11,ph,5.11,surf,2017-04-09
CB,2017,192,2017-07-11,totnf,517,surf,2017-04-09
CB,2017,192,2017-07-11,totnuf,571,surf,2017-04-09
CB,2017,192,2017-07-11,totpf,12,surf,2017-04-09
CB,2017,192,2017-07-11,totpuf,21,surf,2017-04-09
CB,2017,219,2017-08-07,doc,11.28,surf,2017-04-09
CB,2017,219,2017-08-07,drsif,346.55999999999995,surf,2017-04-09
CB,2017,219,2017-08-07,nh4,5,surf,2017-04-09
CB,2017,219,2017-08-07,no3no2,3,surf,2017-04-09
CB,2017,219,2017-08-07,ph,4.91,surf,2017-04-09
CB,2017,219,2017-08-07,totnf,459,surf,2017-04-09
CB,2017,219,2017-08-07,totnuf,608,surf,2017-04-09
CB,2017,219,2017-08-07,totpf,10,surf,2017-04-09
CB,2017,219,2017-08-07,totpuf,22,surf,2017-04-09
CB,2017,250,2017-09-07,doc,10.96,surf,2017-04-09
CB,2017,250,2017-09-07,drsif,1018.02,surf,2017-04-09
CB,2017,250,2017-09-07,nh4,8,surf,2017-04-09
CB,2017,250,2017-09-07,no3no2,1.5,surf,2017-04-09
CB,2017,250,2017-09-07,ph,5.33,surf,2017-04-09
CB,2017,250,2017-09-07,totnf,395.5,surf,2017-04-09
CB,2017,250,2017-09-07,totnuf,603,surf,2017-04-09
CB,2017,250,2017-09-07,totpf,8,surf,2017-04-09
CB,2017,250,2017-09-07,totpuf,29.5,surf,2017-04-09
CB,2017,276,2017-10-03,doc,10.46,surf,2017-04-09
CB,2017,276,2017-10-03,drsif,1659.84,surf,2017-04-09
CB,2017,276,2017-10-03,nh4,11,surf,2017-04-09
CB,2017,276,2017-10-03,no3no2,20,surf,2017-04-09
CB,2017,276,2017-10-03,ph,5.07,surf,2017-04-09
CB,2017,276,2017-10-03,totnf,356,surf,2017-04-09
CB,2017,276,2017-10-03,totnuf,707,surf,2017-04-09
CB,2017,276,2017-10-03,totpf,7,surf,2017-04-09
CB,2017,276,2017-10-03,totpuf,23,surf,2017-04-09
CB,2017,310,2017-11-06,doc,11.16,surf,2017-04-09
CB,2017,310,2017-11-06,drsif,2232.12,surf,2017-04-09
CB,2017,310,2017-11-06,nh4,27,surf,2017-04-09
CB,2017,310,2017-11-06,no3no2,5,surf,2017-04-09
CB,2017,310,2017-11-06,ph,5.06,surf,2017-04-09
CB,2017,310,2017-11-06,totnf,368,surf,2017-04-09
CB,2017,310,2017-11-06,totnuf,551,surf,2017-04-09
CB,2017,310,2017-11-06,totpf,12,surf,2017-04-09
CB,2017,310,2017-11-06,totpuf,26,surf,2017-04-09
CB,2018,134,2018-05-14,doc,8.075,surf,2018-05-04
CB,2018,134,2018-05-14,drsif,658.9199999999998,surf,2018-05-04
CB,2018,134,2018-05-14,nh4,16,surf,2018-05-04
CB,2018,134,2018-05-14,no3no2,42,surf,2018-05-04
CB,2018,134,2018-05-14,ph,5.34,surf,2018-05-04
CB,2018,134,2018-05-14,totnf,308,surf,2018-05-04
CB,2018,134,2018-05-14,totnuf,462,surf,2018-05-04
CB,2018,134,2018-05-14,totpf,7,surf,2018-05-04
CB,2018,134,2018-05-14,totpuf,18.5,surf,2018-05-04
CB,2018,164,2018-06-13,drsif,116.27999999999999,surf,2018-05-04
CB,2018,164,2018-06-13,nh4,1.5,surf,2018-05-04
CB,2018,164,2018-06-13,no3no2,3,surf,2018-05-04
CB,2018,164,2018-06-13,ph,5.085,surf,2018-05-04
CB,2018,164,2018-06-13,totnf,439.5,surf,2018-05-04
CB,2018,164,2018-06-13,totnuf,502,surf,2018-05-04
CB,2018,164,2018-06-13,totpf,8,surf,2018-05-04
CB,2018,164,2018-06-13,totpuf,14.5,surf,2018-05-04
CB,2018,190,2018-07-09,doc,9.485,surf,2018-05-04
CB,2018,190,2018-07-09,drsif,418.38,surf,2018-05-04
CB,2018,190,2018-07-09,nh4,10.5,surf,2018-05-04
CB,2018,190,2018-07-09,no3no2,4.5,surf,2018-05-04
CB,2018,190,2018-07-09,ph,5.145,surf,2018-05-04
CB,2018,190,2018-07-09,totnf,317,surf,2018-05-04
CB,2018,190,2018-07-09,totnuf,432.5,surf,2018-05-04
CB,2018,190,2018-07-09,totpf,8.5,surf,2018-05-04
CB,2018,190,2018-07-09,totpuf,15.5,surf,2018-05-04
CB,2018,219,2018-08-07,doc,9.79,surf,2018-05-04
CB,2018,219,2018-08-07,drsif,652.0799999999999,surf,2018-05-04
CB,2018,219,2018-08-07,nh4,16,surf,2018-05-04
CB,2018,219,2018-08-07,no3no2,15,surf,2018-05-04
CB,2018,219,2018-08-07,ph,5.1,surf,2018-05-04
CB,2018,219,2018-08-07,totnf,281,surf,2018-05-04
CB,2018,219,2018-08-07,totnuf,382,surf,2018-05-04
CB,2018,219,2018-08-07,totpf,4,surf,2018-05-04
CB,2018,219,2018-08-07,totpuf,12,surf,2018-05-04
CB,2018,248,2018-09-05,doc,9.530000000000001,surf,2018-05-04
CB,2018,248,2018-09-05,drsif,100.32,surf,2018-05-04
CB,2018,248,2018-09-05,nh4,8.5,surf,2018-05-04
CB,2018,248,2018-09-05,no3no2,0,surf,2018-05-04
CB,2018,248,2018-09-05,ph,5.175,surf,2018-05-04
CB,2018,248,2018-09-05,totnf,273.5,surf,2018-05-04
CB,2018,248,2018-09-05,totnuf,415.5,surf,2018-05-04
CB,2018,248,2018-09-05,totpf,2.5,surf,2018-05-04
CB,2018,248,2018-09-05,totpuf,16,surf,2018-05-04
CB,2018,276,2018-10-03,doc,10.56,surf,2018-05-04
CB,2018,276,2018-10-03,drsif,1295.04,surf,2018-05-04
CB,2018,276,2018-10-03,nh4,81,surf,2018-05-04
CB,2018,276,2018-10-03,no3no2,7,surf,2018-05-04
CB,2018,276,2018-10-03,ph,5.21,surf,2018-05-04
CB,2018,276,2018-10-03,totnf,390,surf,2018-05-04
CB,2018,276,2018-10-03,totnuf,427,surf,2018-05-04
CB,2018,276,2018-10-03,totpf,3,surf,2018-05-04
CB,2018,276,2018-10-03,totpuf,14,surf,2018-05-04
CB,2018,309,2018-11-05,doc,10.68,surf,2018-05-04
CB,2018,309,2018-11-05,drsif,1609.6799999999998,surf,2018-05-04
CB,2018,309,2018-11-05,nh4,240,surf,2018-05-04
CB,2018,309,2018-11-05,no3no2,22,surf,2018-05-04
CB,2018,309,2018-11-05,ph,5.33,surf,2018-05-04
CB,2018,309,2018-11-05,totnf,648,surf,2018-05-04
CB,2018,309,2018-11-05,totnuf,842,surf,2018-05-04
CB,2018,309,2018-11-05,totpf,7,surf,2018-05-04
CB,2018,309,2018-11-05,totpuf,13,surf,2018-05-04
CR,1982,130,1982-05-10,drsif,4.56,surf,1982-05-03
CR,1982,130,1982-05-10,no3no2,37,surf,1982-05-03
CR,1982,130,1982-05-10,ph,5.19,surf,1982-05-03
CR,1982,147,1982-05-27,drsif,6.84,surf,1982-05-03
CR,1982,147,1982-05-27,no3no2,25,surf,1982-05-03
CR,1982,147,1982-05-27,ph,5.57,surf,1982-05-03
CR,1982,158,1982-06-07,drsif,61.559999999999995,surf,1982-05-03
CR,1982,158,1982-06-07,no3no2,9,surf,1982-05-03
CR,1982,158,1982-06-07,ph,7,surf,1982-05-03
CR,1982,175,1982-06-24,drsif,9.12,surf,1982-05-03
CR,1982,175,1982-06-24,no3no2,0,surf,1982-05-03
CR,1982,187,1982-07-06,drsif,25.08,surf,1982-05-03
CR,1982,187,1982-07-06,no3no2,0,surf,1982-05-03
CR,1982,200,1982-07-19,drsif,25.08,surf,1982-05-03
CR,1982,200,1982-07-19,nh4,0,surf,1982-05-03
CR,1982,200,1982-07-19,no3no2,0,surf,1982-05-03
CR,1982,200,1982-07-19,ph,6.19,surf,1982-05-03
CR,1982,215,1982-08-03,drsif,22.799999999999997,surf,1982-05-03
CR,1982,215,1982-08-03,nh4,0,surf,1982-05-03
CR,1982,215,1982-08-03,no3no2,0,surf,1982-05-03
CR,1982,228,1982-08-16,drsif,27.36,surf,1982-05-03
CR,1982,228,1982-08-16,nh4,0,surf,1982-05-03
CR,1982,228,1982-08-16,no3no2,0,surf,1982-05-03
CR,1982,228,1982-08-16,ph,6.48,surf,1982-05-03
CR,1982,252,1982-09-09,drsif,20.52,surf,1982-05-03
CR,1982,252,1982-09-09,nh4,0,surf,1982-05-03
CR,1982,252,1982-09-09,no3no2,0,surf,1982-05-03
CR,1982,252,1982-09-09,ph,6.2,surf,1982-05-03
CR,1982,265,1982-09-22,drsif,31.919999999999998,surf,1982-05-03
CR,1982,265,1982-09-22,nh4,12,surf,1982-05-03
CR,1982,265,1982-09-22,no3no2,0,surf,1982-05-03
CR,1982,265,1982-09-22,ph,5.7,surf,1982-05-03
CR,1982,278,1982-10-05,drsif,27.36,surf,1982-05-03
CR,1982,278,1982-10-05,nh4,0,surf,1982-05-03
CR,1982,278,1982-10-05,no3no2,0,surf,1982-05-03
CR,1982,278,1982-10-05,ph,6.09,surf,1982-05-03
CR,1982,294,1982-10-21,drsif,36.48,surf,1982-05-03
CR,1982,294,1982-10-21,nh4,0,surf,1982-05-03
CR,1982,294,1982-10-21,no3no2,0,surf,1982-05-03
CR,1982,294,1982-10-21,ph,6.07,surf,1982-05-03
CR,1982,337,1982-12-03,ph,6.02,surf,1982-05-03
CR,1983,143,1983-05-23,drsif,13.68,surf,1983-04-29
CR,1983,143,1983-05-23,nh4,10.5,surf,1983-04-29
CR,1983,143,1983-05-23,no3no2,11,surf,1983-04-29
CR,1983,143,1983-05-23,ph,6.13,surf,1983-04-29
CR,1983,157,1983-06-06,drsif,9.12,surf,1983-04-29
CR,1983,157,1983-06-06,nh4,26,surf,1983-04-29
CR,1983,157,1983-06-06,no3no2,0,surf,1983-04-29
CR,1983,157,1983-06-06,ph,6.25,surf,1983-04-29
CR,1983,172,1983-06-21,drsif,4.56,surf,1983-04-29
CR,1983,172,1983-06-21,nh4,0,surf,1983-04-29
CR,1983,172,1983-06-21,no3no2,0,surf,1983-04-29
CR,1983,172,1983-06-21,ph,5.99,surf,1983-04-29
CR,1983,188,1983-07-07,nh4,0,surf,1983-04-29
CR,1983,188,1983-07-07,no3no2,0,surf,1983-04-29
CR,1983,188,1983-07-07,ph,5.99,surf,1983-04-29
CR,1983,201,1983-07-20,drsif,11.399999999999999,surf,1983-04-29
CR,1983,201,1983-07-20,nh4,0,surf,1983-04-29
CR,1983,201,1983-07-20,no3no2,0,surf,1983-04-29
CR,1983,201,1983-07-20,ph,6,surf,1983-04-29
CR,1983,214,1983-08-02,nh4,14,surf,1983-04-29
CR,1983,214,1983-08-02,no3no2,0,surf,1983-04-29
CR,1983,214,1983-08-02,ph,5.96,surf,1983-04-29
CR,1983,228,1983-08-16,drsif,9.12,surf,1983-04-29
CR,1983,228,1983-08-16,nh4,17,surf,1983-04-29
CR,1983,228,1983-08-16,no3no2,0,surf,1983-04-29
CR,1983,228,1983-08-16,ph,6.35,surf,1983-04-29
CR,1983,252,1983-09-09,drsif,22.799999999999997,surf,1983-04-29
CR,1983,252,1983-09-09,nh4,0,surf,1983-04-29
CR,1983,252,1983-09-09,no3no2,0,surf,1983-04-29
CR,1983,252,1983-09-09,ph,6.29,surf,1983-04-29
CR,1983,269,1983-09-26,drsif,25.08,surf,1983-04-29
CR,1983,269,1983-09-26,nh4,10.5,surf,1983-04-29
CR,1983,269,1983-09-26,no3no2,0,surf,1983-04-29
CR,1983,269,1983-09-26,ph,5.65,surf,1983-04-29
CR,1983,292,1983-10-19,drsif,45.599999999999994,surf,1983-04-29
CR,1983,292,1983-10-19,nh4,0,surf,1983-04-29
CR,1983,292,1983-10-19,no3no2,4,surf,1983-04-29
CR,1983,292,1983-10-19,ph,5.87,surf,1983-04-29
CR,1983,319,1983-11-15,drsif,49.019999999999996,surf,1983-04-29
CR,1983,319,1983-11-15,nh4,15,surf,1983-04-29
CR,1983,319,1983-11-15,no3no2,0,surf,1983-04-29
CR,1983,319,1983-11-15,ph,5.895,surf,1983-04-29
CR,1984,116,1984-04-25,drsif,34.199999999999996,surf,1984-04-20
CR,1984,116,1984-04-25,nh4,19,surf,1984-04-20
CR,1984,116,1984-04-25,no3no2,6,surf,1984-04-20
CR,1984,116,1984-04-25,ph,5.83,surf,1984-04-20
CR,1984,129,1984-05-08,drsif,20.52,surf,1984-04-20
CR,1984,129,1984-05-08,nh4,29,surf,1984-04-20
CR,1984,129,1984-05-08,no3no2,0,surf,1984-04-20
CR,1984,129,1984-05-08,ph,5.98,surf,1984-04-20
CR,1984,144,1984-05-23,drsif,9.12,surf,1984-04-20
CR,1984,144,1984-05-23,nh4,14,surf,1984-04-20
CR,1984,144,1984-05-23,no3no2,0,surf,1984-04-20
CR,1984,144,1984-05-23,ph,6.08,surf,1984-04-20
CR,1984,159,1984-06-07,drsif,13.68,surf,1984-04-20
CR,1984,159,1984-06-07,nh4,21,surf,1984-04-20
CR,1984,159,1984-06-07,no3no2,0,surf,1984-04-20
CR,1984,159,1984-06-07,ph,6.33,surf,1984-04-20
CR,1984,170,1984-06-18,drsif,13.68,surf,1984-04-20
CR,1984,170,1984-06-18,nh4,19,surf,1984-04-20
CR,1984,170,1984-06-18,no3no2,0,surf,1984-04-20
CR,1984,170,1984-06-18,ph,6.05,surf,1984-04-20
CR,1984,186,1984-07-04,drsif,13.68,surf,1984-04-20
CR,1984,186,1984-07-04,nh4,35,surf,1984-04-20
CR,1984,186,1984-07-04,no3no2,0,surf,1984-04-20
CR,1984,186,1984-07-04,ph,6.21,surf,1984-04-20
CR,1984,200,1984-07-18,drsif,15.959999999999999,surf,1984-04-20
CR,1984,200,1984-07-18,nh4,47.5,surf,1984-04-20
CR,1984,200,1984-07-18,no3no2,2,surf,1984-04-20
CR,1984,200,1984-07-18,ph,6.245,surf,1984-04-20
CR,1984,212,1984-07-30,drsif,20.519999999999996,surf,1984-04-20
CR,1984,212,1984-07-30,nh4,21,surf,1984-04-20
CR,1984,212,1984-07-30,no3no2,0,surf,1984-04-20
CR,1984,212,1984-07-30,ph,6.47,surf,1984-04-20
CR,1984,226,1984-08-13,drsif,26.22,surf,1984-04-20
CR,1984,226,1984-08-13,nh4,20.5,surf,1984-04-20
CR,1984,226,1984-08-13,no3no2,0,surf,1984-04-20
CR,1984,226,1984-08-13,ph,6.3149999999999995,surf,1984-04-20
CR,1984,249,1984-09-05,drsif,25.08,surf,1984-04-20
CR,1984,249,1984-09-05,nh4,37,surf,1984-04-20
CR,1984,249,1984-09-05,no3no2,0,surf,1984-04-20
CR,1984,249,1984-09-05,ph,6.33,surf,1984-04-20
CR,1984,271,1984-09-27,drsif,36.48,surf,1984-04-20
CR,1984,271,1984-09-27,nh4,56,surf,1984-04-20
CR,1984,271,1984-09-27,no3no2,3,surf,1984-04-20
CR,1984,271,1984-09-27,ph,6.14,surf,1984-04-20
CR,1984,290,1984-10-16,drsif,43.31999999999999,surf,1984-04-20
CR,1984,290,1984-10-16,nh4,21,surf,1984-04-20
CR,1984,290,1984-10-16,no3no2,0,surf,1984-04-20
CR,1984,290,1984-10-16,ph,6.01,surf,1984-04-20
CR,1984,311,1984-11-06,drsif,68.39999999999999,surf,1984-04-20
CR,1984,311,1984-11-06,nh4,36,surf,1984-04-20
CR,1984,311,1984-11-06,no3no2,4,surf,1984-04-20
CR,1984,311,1984-11-06,ph,5.89,surf,1984-04-20
CR,1985,121,1985-05-01,drsif,15.959999999999999,surf,1985-04-23
CR,1985,121,1985-05-01,nh4,51,surf,1985-04-23
CR,1985,121,1985-05-01,no3no2,29,surf,1985-04-23
CR,1985,121,1985-05-01,ph,5.78,surf,1985-04-23
CR,1985,135,1985-05-15,drsif,11.399999999999999,surf,1985-04-23
CR,1985,135,1985-05-15,nh4,91,surf,1985-04-23
CR,1985,135,1985-05-15,no3no2,19,surf,1985-04-23
CR,1985,135,1985-05-15,ph,6.31,surf,1985-04-23
CR,1985,149,1985-05-29,drsif,25.08,surf,1985-04-23
CR,1985,149,1985-05-29,nh4,28,surf,1985-04-23
CR,1985,149,1985-05-29,no3no2,4,surf,1985-04-23
CR,1985,149,1985-05-29,ph,6.29,surf,1985-04-23
CR,1985,163,1985-06-12,drsif,36.48,surf,1985-04-23
CR,1985,163,1985-06-12,nh4,7,surf,1985-04-23
CR,1985,163,1985-06-12,no3no2,0,surf,1985-04-23
CR,1985,163,1985-06-12,ph,6.32,surf,1985-04-23
CR,1985,175,1985-06-24,drsif,20.52,surf,1985-04-23
CR,1985,175,1985-06-24,nh4,43,surf,1985-04-23
CR,1985,175,1985-06-24,no3no2,2,surf,1985-04-23
CR,1985,175,1985-06-24,ph,6.27,surf,1985-04-23
CR,1985,189,1985-07-08,drsif,22.799999999999997,surf,1985-04-23
CR,1985,189,1985-07-08,nh4,0,surf,1985-04-23
CR,1985,189,1985-07-08,no3no2,0,surf,1985-04-23
CR,1985,189,1985-07-08,ph,6.33,surf,1985-04-23
CR,1985,204,1985-07-23,drsif,20.52,surf,1985-04-23
CR,1985,204,1985-07-23,nh4,11,surf,1985-04-23
CR,1985,204,1985-07-23,no3no2,0,surf,1985-04-23
CR,1985,204,1985-07-23,ph,6.43,surf,1985-04-23
CR,1985,219,1985-08-07,drsif,25.08,surf,1985-04-23
CR,1985,219,1985-08-07,nh4,22,surf,1985-04-23
CR,1985,219,1985-08-07,no3no2,0,surf,1985-04-23
CR,1985,219,1985-08-07,ph,6.45,surf,1985-04-23
CR,1985,234,1985-08-22,drsif,19.38,surf,1985-04-23
CR,1985,234,1985-08-22,nh4,11.5,surf,1985-04-23
CR,1985,234,1985-08-22,no3no2,0,surf,1985-04-23
CR,1985,234,1985-08-22,ph,6.375,surf,1985-04-23
CR,1985,254,1985-09-11,drsif,20.52,surf,1985-04-23
CR,1985,254,1985-09-11,nh4,15,surf,1985-04-23
CR,1985,254,1985-09-11,no3no2,0,surf,1985-04-23
CR,1985,254,1985-09-11,ph,6.2,surf,1985-04-23
CR,1985,275,1985-10-02,drsif,27.36,surf,1985-04-23
CR,1985,275,1985-10-02,nh4,89,surf,1985-04-23
CR,1985,275,1985-10-02,no3no2,3,surf,1985-04-23
CR,1985,275,1985-10-02,ph,6.02,surf,1985-04-23
CR,1985,295,1985-10-22,drsif,38.76,surf,1985-04-23
CR,1985,295,1985-10-22,nh4,11.5,surf,1985-04-23
CR,1985,295,1985-10-22,no3no2,0,surf,1985-04-23
CR,1985,295,1985-10-22,ph,5.975,surf,1985-04-23
CR,1985,317,1985-11-13,drsif,45.599999999999994,surf,1985-04-23
CR,1985,317,1985-11-13,nh4,19,surf,1985-04-23
CR,1985,317,1985-11-13,no3no2,2,surf,1985-04-23
CR,1985,317,1985-11-13,ph,5.9,surf,1985-04-23
CR,1986,112,1986-04-22,doc,1.23,surf,1986-04-13
CR,1986,112,1986-04-22,drsif,92.33999999999999,surf,1986-04-13
CR,1986,112,1986-04-22,nh4,17.5,surf,1986-04-13
CR,1986,112,1986-04-22,no3no2,51.5,surf,1986-04-13
CR,1986,112,1986-04-22,ph,5.91,surf,1986-04-13
CR,1986,112,1986-04-22,totnf,74,surf,1986-04-13
CR,1986,112,1986-04-22,totnuf,125,surf,1986-04-13
CR,1986,112,1986-04-22,totpf,1.5,surf,1986-04-13
CR,1986,112,1986-04-22,totpuf,7,surf,1986-04-13
CR,1986,142,1986-05-22,doc,1.97,surf,1986-04-13
CR,1986,142,1986-05-22,drsif,11.399999999999999,surf,1986-04-13
CR,1986,142,1986-05-22,nh4,9,surf,1986-04-13
CR,1986,142,1986-05-22,no3no2,36,surf,1986-04-13
CR,1986,142,1986-05-22,ph,6.29,surf,1986-04-13
CR,1986,142,1986-05-22,totnf,213,surf,1986-04-13
CR,1986,142,1986-05-22,totnuf,218,surf,1986-04-13
CR,1986,142,1986-05-22,totpf,3,surf,1986-04-13
CR,1986,142,1986-05-22,totpuf,5,surf,1986-04-13
CR,1986,170,1986-06-19,doc,1.46,surf,1986-04-13
CR,1986,170,1986-06-19,drsif,6.84,surf,1986-04-13
CR,1986,170,1986-06-19,nh4,12,surf,1986-04-13
CR,1986,170,1986-06-19,no3no2,3,surf,1986-04-13
CR,1986,170,1986-06-19,ph,6.61,surf,1986-04-13
CR,1986,170,1986-06-19,totnf,152,surf,1986-04-13
CR,1986,170,1986-06-19,totnuf,182,surf,1986-04-13
CR,1986,170,1986-06-19,totpf,0,surf,1986-04-13
CR,1986,170,1986-06-19,totpuf,4,surf,1986-04-13
CR,1986,198,1986-07-17,doc,1.455,surf,1986-04-13
CR,1986,198,1986-07-17,drsif,19.38,surf,1986-04-13
CR,1986,198,1986-07-17,nh4,7,surf,1986-04-13
CR,1986,198,1986-07-17,no3no2,0,surf,1986-04-13
CR,1986,198,1986-07-17,ph,6.805,surf,1986-04-13
CR,1986,198,1986-07-17,totnf,153.5,surf,1986-04-13
CR,1986,198,1986-07-17,totnuf,178.5,surf,1986-04-13
CR,1986,198,1986-07-17,totpf,0,surf,1986-04-13
CR,1986,198,1986-07-17,totpuf,0,surf,1986-04-13
CR,1986,226,1986-08-14,doc,1.71,surf,1986-04-13
CR,1986,226,1986-08-14,drsif,18.24,surf,1986-04-13
CR,1986,226,1986-08-14,nh4,105,surf,1986-04-13
CR,1986,226,1986-08-14,no3no2,0,surf,1986-04-13
CR,1986,226,1986-08-14,ph,6.63,surf,1986-04-13
CR,1986,226,1986-08-14,totnf,175,surf,1986-04-13
CR,1986,226,1986-08-14,totnuf,150,surf,1986-04-13
CR,1986,226,1986-08-14,totpf,3,surf,1986-04-13
CR,1986,226,1986-08-14,totpuf,6,surf,1986-04-13
CR,1986,254,1986-09-11,doc,1.65,surf,1986-04-13
CR,1986,254,1986-09-11,drsif,22.799999999999997,surf,1986-04-13
CR,1986,254,1986-09-11,nh4,5,surf,1986-04-13
CR,1986,254,1986-09-11,no3no2,0,surf,1986-04-13
CR,1986,254,1986-09-11,totnf,142,surf,1986-04-13
CR,1986,254,1986-09-11,totnuf,174,surf,1986-04-13
CR,1986,254,1986-09-11,totpf,0,surf,1986-04-13
CR,1986,254,1986-09-11,totpuf,5,surf,1986-04-13
CR,1986,281,1986-10-08,doc,1.63,surf,1986-04-13
CR,1986,281,1986-10-08,drsif,27.36,surf,1986-04-13
CR,1986,281,1986-10-08,nh4,17,surf,1986-04-13
CR,1986,281,1986-10-08,no3no2,0,surf,1986-04-13
CR,1986,281,1986-10-08,ph,6.22,surf,1986-04-13
CR,1986,281,1986-10-08,totnf,111,surf,1986-04-13
CR,1986,281,1986-10-08,totnuf,132,surf,1986-04-13
CR,1986,281,1986-10-08,totpf,0,surf,1986-04-13
CR,1986,281,1986-10-08,totpuf,7,surf,1986-04-13
CR,1986,307,1986-11-03,doc,1.41,surf,1986-04-13
CR,1986,307,1986-11-03,drsif,70.67999999999999,surf,1986-04-13
CR,1986,307,1986-11-03,nh4,7,surf,1986-04-13
CR,1986,307,1986-11-03,no3no2,0,surf,1986-04-13
CR,1986,307,1986-11-03,ph,6.24,surf,1986-04-13
CR,1986,307,1986-11-03,totnf,151,surf,1986-04-13
CR,1986,307,1986-11-03,totnuf,150,surf,1986-04-13
CR,1986,307,1986-11-03,totpf,5,surf,1986-04-13
CR,1986,307,1986-11-03,totpuf,5,surf,1986-04-13
CR,1987,111,1987-04-21,doc,1.24,surf,1987-04-09
CR,1987,111,1987-04-21,drsif,9.12,surf,1987-04-09
CR,1987,111,1987-04-21,nh4,109,surf,1987-04-09
CR,1987,111,1987-04-21,no3no2,31,surf,1987-04-09
CR,1987,111,1987-04-21,ph,6.1,surf,1987-04-09
CR,1987,111,1987-04-21,totnf,130,surf,1987-04-09
CR,1987,111,1987-04-21,totnuf,131,surf,1987-04-09
CR,1987,111,1987-04-21,totpf,0,surf,1987-04-09
CR,1987,111,1987-04-21,totpuf,2,surf,1987-04-09
CR,1987,140,1987-05-20,doc,1.49,surf,1987-04-09
CR,1987,140,1987-05-20,drsif,6.84,surf,1987-04-09
CR,1987,140,1987-05-20,nh4,11,surf,1987-04-09
CR,1987,140,1987-05-20,no3no2,9,surf,1987-04-09
CR,1987,140,1987-05-20,ph,6.45,surf,1987-04-09
CR,1987,140,1987-05-20,totnf,169,surf,1987-04-09
CR,1987,140,1987-05-20,totnuf,187,surf,1987-04-09
CR,1987,140,1987-05-20,totpf,8,surf,1987-04-09
CR,1987,140,1987-05-20,totpuf,22,surf,1987-04-09
CR,1987,173,1987-06-22,doc,1.55,surf,1987-04-09
CR,1987,173,1987-06-22,drsif,11.399999999999999,surf,1987-04-09
CR,1987,173,1987-06-22,nh4,31,surf,1987-04-09
CR,1987,173,1987-06-22,no3no2,0,surf,1987-04-09
CR,1987,173,1987-06-22,ph,6.59,surf,1987-04-09
CR,1987,173,1987-06-22,totnf,89,surf,1987-04-09
CR,1987,173,1987-06-22,totnuf,87,surf,1987-04-09
CR,1987,173,1987-06-22,totpf,0,surf,1987-04-09
CR,1987,173,1987-06-22,totpuf,0,surf,1987-04-09
CR,1987,197,1987-07-16,doc,1.64,surf,1987-04-09
CR,1987,197,1987-07-16,drsif,29.639999999999997,surf,1987-04-09
CR,1987,197,1987-07-16,nh4,58,surf,1987-04-09
CR,1987,197,1987-07-16,no3no2,11,surf,1987-04-09
